========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Segniliparus † - Number 37. Time: 2023-11-10 11:16:30.770709. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00037/abstract 
Got Tsukamurella † - Number 38. Time: 2023-11-10 11:16:32.034745. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00038/abstract 
Got Acidothermus † - Number 39. Time: 2023-11-10 11:16:33.210656. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00039/abstract 
Got Cryptosporangium † - Number 40. Time: 2023-11-10 11:16:34.7315. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00040/abstract 
Got Fodinicola † - Number 41. Time: 2023-11-10 11:16:36.246303. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00041/abstract 
Got Frankia † - Number 42. Time: 2023-11-10 11:16:38.276667. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00042/abstract 
Got Blastococcus † - Number 43. Time: 2023-11-10 11:16:39.416524. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00043/abstract 
Got Geodermatophilus † - Number 44. Time: 2023-11-10 11:16:40.789078. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00044/abstract 
Got Modestobacter † - Number 45. Time: 2023-11-10 11:16:41.9455. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00045/abstract 
Got Humicoccus † - Number 46. Time: 2023-11-10 11:16:43.345062. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00046/abstract 
Got Nakamurella † - Number 47. Time: 2023-11-10 11:16:44.617966. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00047/abstract 
Got Sporichthya † - Number 48. Time: 2023-11-10 11:16:46.44776. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00048/abstract 
Got Glycomyces † - Number 49. Time: 2023-11-10 11:16:47.481115. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00049/abstract 
Got Stackebrandtia † - Number 50. Time: 2023-11-10 11:16:48.60517. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00050/abstract 
Got Haloactinopolyspora † - Number 51. Time: 2023-11-10 11:16:50.520021. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00051/abstract 
Got Jiangella † - Number 52. Time: 2023-11-10 11:16:51.784879. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00052/abstract 
Got Kineococcus † - Number 53. Time: 2023-11-10 11:16:52.900018. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00053/abstract 
Got Kineosporia † - Number 54. Time: 2023-11-10 11:16:54.181681. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00054/abstract 
Got Quadrisphaera † - Number 55. Time: 2023-11-10 11:16:55.623526. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00055/abstract 
